datetime_local,temperature,humidity,dew_point,wind_speed,pressure,uv_index,ozone
01-10-2019 00:00,26,1,22.01,3.08,1008.45,0,268.6
01-10-2019 01:00,25,1,22.06,2.94,1008.24,0,269.1
01-10-2019 02:00,25,1,22.06,2.82,1007.9,0,269.7
01-10-2019 03:00,24,1,21.87,2.63,1007.61,0,270.4
01-10-2019 04:00,23,1,21.53,2.39,1007.51,0,271.3
01-10-2019 05:00,23,1,21.56,2.09,1008.03,0,271.6
01-10-2019 06:00,24,1,21.97,2.31,1008.61,0,271.8
01-10-2019 07:00,25,1,22.34,2.98,1008.97,0,272.4
01-10-2019 08:00,25,1,22.35,3.44,1009.53,1,272.8
01-10-2019 09:00,27,1,22.21,3.49,1010,3,272.6
01-10-2019 10:00,28,1,22.12,2.92,1009.99,4,271.6
01-10-2019 11:00,30,1,21.71,2.21,1009.86,5,271
01-10-2019 12:00,31,1,21.1,1.9,1009.39,6,271.2
01-10-2019 13:00,32,1,20.52,2.03,1008.35,5,271.6
01-10-2019 14:00,33,0,19.91,2.39,1007.24,5,272.2
01-10-2019 15:00,33,0,19.46,2.77,1006.39,4,272.5
01-10-2019 16:00,33,0,19.04,3.01,1006.08,2,272.5
01-10-2019 17:00,33,0,18.88,3.04,1005.97,1,272.6
01-10-2019 18:00,32,1,19.81,2.96,1006.39,0,273.2
01-10-2019 19:00,30,1,20.85,2.72,1007.49,0,274.2
01-10-2019 20:00,28,1,21.04,2.48,1008.37,0,275.4
01-10-2019 21:00,27,1,21.31,2.61,1008.99,0,276
01-10-2019 22:00,27,1,21.66,3.03,1009.27,0,276.4
01-10-2019 23:00,26,1,21.85,3.28,1009.67,0,276.1
02-10-2019 00:00,26,1,20.53,3.13,1010.06,0,275.6
02-10-2019 01:00,26,1,20.9,2.7,1009.86,0,275.6
02-10-2019 02:00,25,1,20.79,2.22,1009.67,0,275.6
02-10-2019 03:00,25,1,20.56,1.86,1009.59,0,275.8
02-10-2019 04:00,24,1,20.33,1.6,1009.63,0,276.2
02-10-2019 05:00,23,1,20.24,1.26,1010.06,0,277
02-10-2019 06:00,24,1,20.6,1.06,1010.52,0,277.9
02-10-2019 07:00,25,1,21.13,1.1,1010.91,0,278.4
02-10-2019 08:00,26,1,21.43,1.11,1011.65,1,278.6
02-10-2019 09:00,27,1,21.71,1.1,1012.16,3,277.9
02-10-2019 10:00,28,1,21.62,1.19,1012.18,5,276.2
02-10-2019 11:00,29,1,21.19,1.59,1011.88,7,275.2
02-10-2019 12:00,30,1,20.75,2,1011.26,8,275.1
02-10-2019 13:00,31,1,20.27,2.15,1010.36,8,275.1
02-10-2019 14:00,32,0,19.85,2.24,1009.28,6,275.3
02-10-2019 15:00,33,0,19.64,2.33,1008.4,4,275.6
02-10-2019 16:00,33,0,19.05,2.37,1007.83,2,276.1
02-10-2019 17:00,33,0,18.76,2.13,1007.88,1,276
02-10-2019 18:00,32,0,19.34,1.91,1008.26,0,275.6
02-10-2019 19:00,31,1,19.85,1.84,1008.47,0,275.8
02-10-2019 20:00,29,1,19.78,1.8,1008.76,0,275.8
02-10-2019 21:00,28,1,20.03,1.9,1009.05,0,275
02-10-2019 22:00,28,1,20.39,2.1,1009.11,0,273.3
02-10-2019 23:00,27,1,20.52,2.14,1009.13,0,272.1
03-10-2019 00:00,26,1,20.54,2.06,1008.95,0,271.9
03-10-2019 01:00,26,1,20.82,2.04,1008.84,0,272.4
03-10-2019 02:00,26,1,20.63,1.89,1008.9,0,273.2
03-10-2019 03:00,25,1,20.35,1.84,1008.88,0,273.7
03-10-2019 04:00,24,1,20.04,1.88,1009.12,0,274
